iter	Passed	Remaining
422	2159	2945
423	2162	2938
424	2165	2929
425	2167	2920
426	2169	2911
427	2172	2902
428	2175	2895
429	2178	2887
430	2180	2878
431	2184	2871
432	2186	2862
433	2189	2855
434	2197	2853
435	2201	2847
436	2206	2842
437	2218	2847
438	2229	2849
439	2235	2845
440	2239	2838
441	2248	2838
442	2263	2845
443	2268	2840
444	2276	2839
445	2279	2831
446	2283	2824
447	2287	2818
448	2291	2812
449	2294	2804
450	2301	2801
451	2306	2796
452	2309	2788
453	2312	2781
454	2317	2775
455	2320	2768
456	2324	2761
457	2326	2753
458	2330	2746
459	2333	2738
460	2341	2737
461	2345	2731
462	2349	2725
463	2352	2717
464	2356	2711
465	2360	2704
466	2363	2697
467	2369	2693
468	2373	2687
469	2376	2680
470	2379	2672
471	2382	2664
472	2386	2658
473	2390	2652
474	2392	2644
475	2396	2638
476	2401	2633
477	2412	2634
478	2419	2631
479	2423	2625
480	2426	2618
481	2429	2611
482	2440	2612
483	2453	2615
484	2459	2611
485	2467	2610
486	2470	2602
487	2473	2595
488	2478	2590
489	2483	2585
490	2487	2578
491	2491	2572
492	2495	2565
493	2499	2560
494	2502	2553
495	2507	2547
496	2510	2540
497	2514	2534
498	2516	2526
499	2520	2520
500	2523	2513
501	2528	2508
502	2532	2502
503	2537	2496
504	2540	2489
505	2542	2482
506	2544	2474
507	2547	2467
508	2550	2460
509	2553	2453
510	2555	2445
511	2558	2438
512	2560	2430
513	2563	2423
514	2567	2417
515	2572	2412
516	2581	2411
517	2584	2405
518	2587	2398
519	2591	2392
520	2596	2387
521	2600	2381
522	2603	2374
523	2605	2367
524	2615	2366
525	2619	2360
526	2630	2361
527	2633	2354
528	2639	2350
529	2672	2370
530	2679	2366
531	2687	2364
532	2691	2358
533	2696	2353
534	2722	2366
535	2728	2362
536	2736	2359
537	2746	2358
538	2752	2354
539	2756	2348
540	2759	2341
541	2763	2334
542	2766	2328
543	2769	2321
544	2772	2314
545	2774	2307
546	2778	2300
547	2780	2293
548	2784	2287
549	2789	2282
550	2791	2274
551	2795	2268
552	2798	2262
553	2811	2263
554	2818	2259
555	2821	2253
556	2824	2246
557	2827	2239
558	2831	2233
559	2838	2229
560	2843	2225
561	2850	2221
562	2854	2215
563	2857	2209
564	2863	2204
565	2866	2198
566	2869	2191
567	2872	2185
568	2881	2182
569	2886	2177
570	2892	2173
571	2895	2166
572	2898	2160
573	2901	2153
574	2904	2146
575	2908	2140
576	2912	2134
577	2914	2127
578	2917	2121
579	2923	2117
580	2926	2110
581	2929	2103
582	2932	2097
583	2934	2090
584	2937	2083
585	2940	2077
586	2942	2070
587	2945	2064
588	2948	2057
589	2950	2050
590	2952	2043
591	2955	2037
592	2958	2030
593	2962	2024
594	2964	2018
595	2968	2012
596	2971	2005
597	2975	2000
598	2980	1995
599	2982	1988
600	2985	1982
601	2987	1975
602	2992	1970
603	2997	1965
604	3000	1958
605	3004	1953
606	3008	1947
607	3011	1941
608	3014	1935
609	3017	1929
610	3028	1928
611	3032	1922
612	3040	1919
613	3043	1913
614	3045	1906
615	3049	1900
616	3057	1897
617	3061	1892
618	3064	1886
619	3080	1887
620	3088	1885
621	3091	1879
622	3095	1872
623	3101	1868
624	3104	1862
625	3107	1856
626	3110	1850
627	3114	1844
628	3117	1838
629	3120	1832
630	3124	1827
631	3129	1821
632	3134	1817
633	3137	1811
634	3142	1806
635	3145	1800
636	3148	1793
637	3150	1787
638	3154	1782
639	3159	1777
640	3162	1771
641	3165	1765
642	3168	1759
643	3171	1753
644	3174	1747
645	3177	1740
646	3179	1734
647	3181	1728
648	3183	1721
649	3187	1716
650	3189	1709
651	3192	1703
652	3194	1697
653	3197	1691
654	3199	1685
655	3203	1679
656	3207	1674
657	3211	1669
658	3219	1665
659	3223	1660
660	3227	1655
661	3230	1649
662	3232	1643
663	3235	1636
664	3237	1630
665	3240	1625
666	3244	1619
667	3246	1613
668	3249	1607
669	3251	1601
670	3253	1595
671	3269	1595
672	3277	1592
673	3282	1587
674	3285	1581
675	3297	1580
676	3301	1574
677	3311	1572
678	3315	1567
679	3319	1562
680	3322	1556
681	3325	1550
682	3327	1544
683	3329	1538
684	3332	1532
685	3336	1527
686	3338	1521
687	3340	1514
688	3342	1508
689	3345	1502
690	3347	1497
691	3350	1491
692	3353	1485
693	3355	1479
694	3358	1473
695	3360	1467
696	3363	1462
697	3367	1457
698	3369	1451
699	3372	1445
700	3374	1439
701	3377	1433
702	3379	1427
703	3382	1422
704	3387	1417
705	3392	1412
706	3396	1407
707	3399	1401
708	3402	1396
709	3408	1392
710	3413	1387
711	3418	1382
712	3421	1377
713	3425	1372
714	3428	1366
715	3431	1361
716	3434	1355
717	3438	1350
718	3441	1344
719	3443	1339
720	3446	1333
721	3450	1328
722	3456	1324
723	3459	1318
724	3461	1313
725	3469	1309
726	3475	1305
727	3478	1299
728	3482	1294
729	3485	1289
730	3488	1283
731	3490	1277
732	3492	1272
733	3501	1269
734	3505	1263
735	3508	1258
736	3514	1254
737	3518	1248
738	3521	1243
739	3523	1238
740	3526	1232
741	3530	1227
742	3533	1222
743	3535	1216
744	3538	1211
745	3542	1205
746	3545	1200
747	3548	1195
748	3555	1191
749	3558	1186
750	3562	1181
751	3565	1175
752	3567	1170
753	3572	1165
754	3575	1160
755	3578	1154
756	3580	1149
757	3583	1144
758	3589	1139
759	3592	1134
760	3596	1129
761	3599	1124
762	3603	1119
763	3606	1114
764	3609	1108
765	3611	1103
766	3614	1098
767	3620	1093
768	3624	1088
769	3630	1084
770	3635	1079
771	3638	1074
772	3652	1072
773	3655	1067
774	3661	1063
775	3667	1058
776	3671	1053
777	3674	1048
778	3677	1043
779	3680	1038
780	3682	1032
781	3688	1028
782	3692	1023
783	3695	1018
784	3697	1012
785	3702	1007
786	3707	1003
787	3709	998
788	3712	992
789	3716	988
790	3721	983
791	3724	978
792	3727	973
793	3731	968
794	3736	963
795	3740	958
796	3747	954
797	3750	949
798	3753	944
799	3756	939
800	3759	933
801	3763	929
802	3765	923
803	3768	918
804	3772	913
805	3780	909
806	3788	906
807	3795	901
808	3797	896
809	3800	891
810	3803	886
811	3807	881
812	3810	876
813	3812	871
814	3815	866
815	3822	861
816	3825	856
817	3835	853
818	3840	848
819	3844	843
820	3848	839
821	3857	835
822	3866	831
823	3869	826
824	3873	821
825	3880	817
826	3902	816
827	3906	811
828	3915	807
829	3918	802
830	3920	797
831	3926	792
832	3933	788
833	3938	784
834	3943	779
835	3947	774
836	3950	769
837	3954	764
838	3957	759
839	3961	754
840	3964	749
